iter	Passed	Remaining
487	779	498
488	780	496
489	781	494
490	783	492
491	784	490
492	785	489
493	786	487
494	788	485
495	789	483
496	790	481
497	791	480
498	793	478
499	794	476
500	795	474
501	796	473
502	798	471
503	799	469
504	800	467
505	801	465
506	803	464
507	804	462
508	805	460
509	807	458
510	808	457
511	809	455
512	811	453
513	812	452
514	813	450
515	815	448
516	816	446
517	817	444
518	818	443
519	820	441
520	821	439
521	822	438
522	824	436
523	825	434
524	827	433
525	828	431
526	829	429
527	830	427
528	831	426
529	833	424
530	834	422
531	835	420
532	836	419
533	838	417
534	839	415
535	840	414
536	842	412
537	843	410
538	844	408
539	845	407
540	847	405
541	848	403
542	849	402
543	850	400
544	852	398
545	853	397
546	855	395
547	856	393
548	857	392
549	859	390
550	860	388
551	861	387
552	862	385
553	864	383
554	865	381
555	866	380
556	867	378
557	869	376
558	870	375
559	871	373
560	873	371
561	874	370
562	875	368
563	877	366
564	878	365
565	879	363
566	880	361
567	882	360
568	883	358
569	884	357
570	886	355
571	887	353
572	888	352
573	890	350
574	891	348
575	892	347
576	893	345
577	895	343
578	896	342
579	897	340
580	899	338
581	900	337
582	902	335
583	903	334
584	904	332
585	906	330
586	907	329
587	908	327
588	910	326
589	911	324
590	912	322
591	929	326
592	933	326
593	937	325
594	940	323
595	942	322
596	945	321
597	947	319
598	949	318
599	951	317
600	952	315
601	954	313
602	956	312
603	957	310
604	959	309
605	960	307
606	962	305
607	963	304
608	965	302
609	966	301
610	967	299
611	969	297
612	970	296
613	971	294
614	972	292
615	973	290
616	975	289
617	976	287
618	977	285
619	978	284
620	979	282
621	981	280
622	982	279
623	983	277
624	984	275
625	985	273
626	986	272
627	987	270
628	988	268
629	989	267
630	991	265
631	992	263
632	993	262
633	994	260
634	996	258
635	997	257
636	998	255
637	999	253
638	1000	252
639	1001	250
640	1002	248
641	1003	247
642	1005	245
643	1006	243
644	1007	242
645	1008	240
646	1010	238
647	1011	237
648	1012	235
649	1013	233
650	1015	232
651	1016	230
652	1017	229
653	1018	227
654	1019	225
655	1021	224
656	1022	222
657	1023	220
658	1025	219
659	1026	217
660	1027	216
661	1029	214
662	1030	212
663	1031	211
664	1032	209
665	1034	208
666	1035	206
667	1037	204
668	1039	203
669	1040	201
670	1042	200
671	1043	198
672	1046	197
673	1047	195
