iter	MultiClass
0	1.030354655
1	0.9669318283
2	0.9097611573
3	0.8572974053
4	0.8118240971
5	0.7701281687
6	0.7312758395
7	0.6971272272
8	0.666094653
9	0.6358343709
10	0.6093062998
11	0.5842909115
12	0.562113483
13	0.5408968541
14	0.5201134941
15	0.5008271142
16	0.4843283219
17	0.4683468623
18	0.45340519
19	0.4393781671
20	0.4253021491
21	0.412649714
22	0.4003942367
23	0.3880309297
24	0.376738574
25	0.3657914305
26	0.3553633267
27	0.3463820827
28	0.3367235043
29	0.3280492669
30	0.3198072782
31	0.3117762998
32	0.305054522
33	0.2985401145
34	0.2922024425
35	0.2864232604
36	0.2801287855
37	0.2741700069
38	0.2683441887
39	0.2629371796
40	0.2583409337
41	0.2531793481
42	0.2485271916
43	0.2446451641
44	0.2413318465
45	0.2371949636
46	0.2335670259
47	0.229956621
48	0.2257510858
49	0.2220801533
50	0.2190701979
51	0.2160310458
52	0.2130509946
53	0.2102472683
54	0.2069306924
55	0.204343293
56	0.2011918538
57	0.1988596865
58	0.1965317494
59	0.1943792964
60	0.1924582419
61	0.1905272871
62	0.1887579196
63	0.1867950574
64	0.1842108555
65	0.1830875666
66	0.1811336085
67	0.1794514374
68	0.1773609188
69	0.1759508594
70	0.1744746011
71	0.1727043575
72	0.1706316385
73	0.1696840772
74	0.1684623784
75	0.1672930348
76	0.1659081161
77	0.1649189104
78	0.1634813139
79	0.1620441895
80	0.1604923814
81	0.1589625309
82	0.1578891804
83	0.1567297207
84	0.1554665456
85	0.1542307074
86	0.1532093515
87	0.1520722661
88	0.1507659489
89	0.1500652226
90	0.1491556579
91	0.1480990651
92	0.1472599089
93	0.1460876346
94	0.1451225013
95	0.1440948071
96	0.1431990196
97	0.1421325769
98	0.1411770813
99	0.1403881568
100	0.1393382288
101	0.1386555632
102	0.1378623338
103	0.1370234207
104	0.1362211215
105	0.1355483872
106	0.1347077011
107	0.1340270193
108	0.1333417314
109	0.1326473221
110	0.1318228666
111	0.1306040161
112	0.1298196702
113	0.1291572492
114	0.1283152163
115	0.1275885683
116	0.1270373207
117	0.1264049731
118	0.1255948944
119	0.1249484899
120	0.1243284709
121	0.1236052864
122	0.1228765608
123	0.1222158024
124	0.1211966529
125	0.1208084369
126	0.12034492
127	0.1196531439
128	0.1189804486
129	0.1183148043
130	0.1175632563
131	0.1167597894
132	0.1160262753
133	0.115178722
134	0.1144124644
135	0.1136833453
136	0.112972251
137	0.1121611822
138	0.1113383361
139	0.1108572564
140	0.110139731
141	0.1094588916
142	0.1089936175
143	0.1084575748
144	0.1076245401
145	0.1069266201
146	0.106240831
147	0.105640406
148	0.1049974974
149	0.1043964605
150	0.1035975205
151	0.1031094479
152	0.1027455486
153	0.1022086168
154	0.1016147341
155	0.1010378835
156	0.1005118819
157	0.09979622442
158	0.09920323735
159	0.09863997266
160	0.09810803942
161	0.09753889912
162	0.09702924868
163	0.09648748986
164	0.09602249884
165	0.09551202044
166	0.09485546376
167	0.09437211119
168	0.09372027504
169	0.09317637516
170	0.09262125344
171	0.09225829094
172	0.09177123314
173	0.09147547126
174	0.09100965457
175	0.0905940543
176	0.09026574801
177	0.08972895696
178	0.08935623684
179	0.08892223501
180	0.08832507326
181	0.08776054409
182	0.08733474238
183	0.08678430219
184	0.08637234349
185	0.08590337739
186	0.08548712444
187	0.08495078657
188	0.08465324077
189	0.08408578574
190	0.08372168726
191	0.08342626615
192	0.08305946215
193	0.08272293346
194	0.08231888925
195	0.08201702546
196	0.08157449623
197	0.0812562892
198	0.08092496602
199	0.08033752123
200	0.07990423383
201	0.07957597951
202	0.07919220931
203	0.07878615527
204	0.07844879826
205	0.07818852527
206	0.07770401793
207	0.07735766652
208	0.07701835582
209	0.07654950573
210	0.0762001692
211	0.07591605842
212	0.07554020056
213	0.07521983387
214	0.07480726037
215	0.07432600203
216	0.0739258484
217	0.07366267918
218	0.0733269152
219	0.07303809031
220	0.0727102306
221	0.07232233216
222	0.07199777478
223	0.07162593031
224	0.07128638194
225	0.07093943113
226	0.07061958915
227	0.0702229785
228	0.06986994218
229	0.06956315678
230	0.06924104558
231	0.06894727798
232	0.06873928028
233	0.06849614219
234	0.06825821955
235	0.06800357729
236	0.06760555351
237	0.06735715414
238	0.06714609626
239	0.06673925025
240	0.0664225088
241	0.06607738738
242	0.06578325069
243	0.06557682755
244	0.06515943707
245	0.06491871027
246	0.06467298709
247	0.06443146291
248	0.06413762264
249	0.06389694307
250	0.06356759352
251	0.06325776033
252	0.06294932455
253	0.06274687111
254	0.06253719927
255	0.06227956717
256	0.06205651557
257	0.0618696666
258	0.061514347
259	0.06121436424
260	0.06093622195
261	0.06063693039
262	0.06044309419
263	0.06021801709
264	0.05988120763
265	0.05969787126
266	0.05944077298
267	0.05921557477
268	0.05897168833
269	0.05874256156
270	0.0584893325
271	0.05821258743
272	0.05791974152
273	0.05766211705
274	0.05735505714
275	0.05711141729
276	0.05692551289
277	0.05667536932
278	0.05639171618
279	0.05618834514
280	0.05594363396
281	0.05570717546
282	0.05548050116
283	0.05519793957
284	0.05501247025
285	0.05473992039
286	0.05453172569
287	0.05434529749
288	0.05409211326
289	0.05388066889
290	0.05371644405
291	0.05355557112
292	0.05340081021
293	0.05320193388
294	0.05300326703
295	0.05284128226
296	0.05263077617
297	0.05244281905
298	0.05221279652
299	0.05209286104
300	0.05197118453
301	0.05179665052
302	0.05162954263
303	0.05151673025
304	0.05133082128
305	0.05122046225
306	0.05106224234
307	0.05086454228
308	0.05062666422
309	0.0504478586
310	0.05025324294
311	0.05004416377
312	0.0499024781
313	0.04966465736
314	0.04951742825
315	0.04933482579
316	0.04912128351
317	0.04895058607
318	0.04874338291
319	0.04851662421
320	0.04837375384
321	0.04820930401
322	0.0480288639
323	0.04783482201
324	0.04773060721
325	0.04753606466
326	0.04739506429
327	0.04721384515
328	0.04705494487
329	0.04689771891
330	0.04675910093
331	0.04661150859
332	0.04647924819
333	0.04631232432
334	0.04617581169
335	0.04597980912
336	0.04583156079
337	0.04568535772
338	0.04548667456
339	0.04531554345
340	0.04519725709
341	0.0450598152
342	0.04487324752
343	0.04469683691
344	0.04457002272
345	0.04441826313
346	0.04425940207
347	0.04409312057
348	0.04396767666
349	0.04377164564
350	0.04365760809
351	0.04347806084
352	0.04337936138
353	0.04322924335
354	0.04311457787
355	0.04295900161
356	0.04280400125
357	0.04263889256
358	0.04248758901
359	0.04234635023
360	0.04218899118
361	0.04205959043
362	0.04192658139
363	0.04179980992
364	0.04167308484
365	0.04155622936
366	0.04139457343
367	0.04124311009
368	0.04112370821
369	0.04098509772
370	0.04089185279
371	0.04073656239
